MissionID,MissionDate,TheaterOfOperations,Country,AirForce,AircraftSeries,Callsign,TakeoffBase,TakeoffLocation,TakeoffLatitude,TakeoffLongitude,TargetCountry,TargetCity,TargetType,TargetIndustry,TargetLatitude,TargetLongitude,AirborneAircraft,AttackingAircraft,BombingAircraft,AircraftReturned,AircraftFailed,AircraftDamaged,AircraftLost,HighExplosives,HighExplosivesType,HighExplosivesWeight_Pounds_,HighExplosivesWeight_Tons_,IncendiaryDevices,IncendiaryDevicesType,IncendiaryDevicesWeight_Pounds_,IncendiaryDevicesWeight_Tons_,FragmentationDevices,FragmentationDevicesType,FragmentationDevicesWeight_Pounds_,FragmentationDevicesWeight_Tons_,TotalWeight_Pounds_,TotalWeight_Tons_,TimeOverTarget,BombDamageAssessment,SourceID
1,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SPADAFORA","",,38.22,15.37,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
3,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,18,NaN,36,NaN,NaN,NaN,NaN,36,500 LB GP (GP-M43/M64),NaN,9,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,9,NaN,NaN,NaN
4,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJA TAURO","",,38.43,15.9,15,NaN,15,NaN,1,NaN,NaN,30,500 LB GP (GP-M43/M64),NaN,7.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,7.5,NaN,NaN,NaN
9,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SCILLA","",,38.23,15.72,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
10,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJA TAURO","",ARMAMENT AND ORDNANCE PLANTS,38.43,15.9,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
96,16-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"VILLA SAN GIOVANNI","",,38.2,15.65,32,NaN,32,NaN,NaN,NaN,NaN,64,500 LB GP (GP-M43/M64),NaN,16,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,16,NaN,NaN,NaN
302,16-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,4,NaN,8,NaN,NaN,NaN,NaN,8,500 LB GP (GP-M43/M64),NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,2,NaN,NaN,NaN
645,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,8,NaN,16,NaN,NaN,NaN,NaN,16,500 LB GP (GP-M43/M64),NaN,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,4,NaN,NaN,NaN
646,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"LA SPEZIA","",,44.1,9.83,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
647,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"LAMEZIA","",,38.92,16.25,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
997,18-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BAGNARA","",,38.27,15.8,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
998,18-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SCALEA","",,39.85,15.78,12,NaN,24,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
1000,18-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"STEFANO","",,40.78,13.43,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
1006,30-Jul-1944,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"MINING IN DANUBE","",,45.22,28.58,52,52,52,NaN,NaN,NaN,NaN,175,1000 LB MINES,NaN,87.5,NaN,,NaN,0,NaN,,NaN,0,NaN,87.5,NaN,NaN,698853
1045,30-Jul-1944,PTO,NEW ZEALAND,RNZAF,PV-1 VENTURA,NaN,"BOUGAINVILLE ISLAND",SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,"TUNURU","",,-6.2,155.5666667,1,1,NaN,NaN,NaN,NaN,NaN,6,250 LB GP (GP-M57),1500,0.75,NaN,,NaN,0,NaN,,NaN,0,1500,0.75,NaN,NaN,NaN
1141,16-Feb-1945,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"FIUME FITTING OUT BASIN INSTALLATIONS AND MERCHANT SHIP","",,45.33,14.43,67,67,67,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,224.1,NaN,NaN,698561
1204,18-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"NICASTRO","",,38.97,16.3,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
1205,18-Aug-1943,MTO,GREAT BRITAIN,RAF,HALI,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"CROTONE","",,39.08,17.13,16,16,16,NaN,NaN,NaN,1,0,500 LB GP (GP-M43/M64),NaN,NaN,810,4 LB INCENDIARY,NaN,21.87,NaN,,NaN,0,NaN,61.62,NaN,NaN,698405
1237,19-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CATANZARO","",,38.9,16.62,16,NaN,32,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
1238,19-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,11.5,NaN,23,NaN,1,NaN,NaN,23,500 LB GP (GP-M43/M64),NaN,5.75,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,5.75,NaN,NaN,NaN
1557,20-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,16,NaN,32,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
1591,21-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"CROTONE","",,39.08,17.13,17,16,16,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,840,4 LB INCENDIARY,NaN,22.68,NaN,,NaN,0,NaN,65.68,NaN,NaN,698407
1775,17-Feb-1945,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"TRIESTE NAVAL DOCK INSTALLATIONS","",,45.65,13.75,66,66,66,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,216.37,NaN,NaN,699446
1839,22-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SALERNO","",,40.67,14.73,22,NaN,44,NaN,10,NaN,NaN,44,500 LB GP (GP-M43/M64),NaN,11,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,11,NaN,NaN,NaN
1887,23-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BATTIPAGLIA","",,40.62,14.97,12,NaN,24,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
1888,23-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BATTIPAGLIA","",,40.62,14.97,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
1889,23-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"EBOLI","",,40.6,15.07,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
2015,18-Feb-1945,PTO,NEW ZEALAND,RNZAF,PV-1 VENTURA,NaN,"BOUGAINVILLE ISLAND",SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,"BANIU HARBOR","HARBOR",,-5.5,154.9,8,8,NaN,NaN,NaN,NaN,NaN,48,325 LB DC (DB-MK 17/47),15600,7.8,NaN,,NaN,0,NaN,,NaN,0,15600,7.8,NaN,NaN,NaN
2030,18-Feb-1945,PTO,NEW ZEALAND,RNZAF,PV-1 VENTURA,NaN,"BOUGAINVILLE ISLAND",SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,"BANIU HARBOR","HARBOR",,-5.5,154.9,8,8,NaN,NaN,NaN,NaN,NaN,16,1000 LB GP (GP-M44/M65),16000,8,NaN,,NaN,0,NaN,,NaN,0,16000,8,NaN,NaN,NaN
2140,24-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CASTROVILLARI","",,39.8,16.2,16,NaN,32,NaN,12,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
2141,24-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SIBARI","",,39.78,16.47,12,NaN,24,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
2143,24-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SAPRI","",,40.07,15.63,8,NaN,16,NaN,NaN,NaN,NaN,16,500 LB GP (GP-M43/M64),NaN,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,4,NaN,NaN,NaN
2145,24-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SAPRI","",,40.07,15.63,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
2146,24-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"CROTONE","",,39.08,17.13,17,17,17,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,95,FLARES,NaN,0,NaN,,NaN,0,NaN,39.75,NaN,NaN,698408
2772,27-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"SIBARI","",,39.78,16.47,28,NaN,28,NaN,NaN,NaN,NaN,56,500 LB GP (GP-M43/M64),NaN,14,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,14,NaN,NaN,NaN
2774,27-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"PAOLA","",,39.35,16.05,16,NaN,16,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
2775,27-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"SIBARI","",,39.78,16.47,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
2776,27-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CASERTA","",,41.07,14.33,8,NaN,16,NaN,NaN,NaN,NaN,16,500 LB GP (GP-M43/M64),NaN,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,4,NaN,NaN,NaN
2781,27-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CETRARO","",,39.5,15.93,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
2782,27-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"CROTONE","",,39.08,17.13,17,15,15,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,97,FLARES,NaN,0,NaN,,NaN,0,NaN,37,NaN,NaN,698409
3095,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CATANZARO","",,38.9,16.62,48,NaN,48,NaN,NaN,NaN,NaN,96,500 LB GP (GP-M43/M64),NaN,24,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,24,NaN,NaN,NaN
3097,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CATANZARO","",,38.9,16.62,28,NaN,28,NaN,NaN,NaN,NaN,56,500 LB GP (GP-M43/M64),NaN,14,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,14,NaN,NaN,NaN
3100,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
3201,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
3202,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"AVERSA","",,40.97,16.18,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
3205,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CASTROVILLARI","",,39.8,16.2,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
3206,28-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CASTROVILLARI","",,39.8,16.2,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
3283,29-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
3284,29-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"ANGITOLA RIVER","",,38.75,16.17,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
3286,29-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"TORRE ANNUNZIATA","",,40.77,14.43,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
3529,30-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"SAPRI","",,40.07,15.63,24,NaN,24,NaN,NaN,NaN,NaN,48,500 LB GP (GP-M43/M64),NaN,12,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,NaN
3530,30-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"LAMEZIA","",,38.92,16.25,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
3535,30-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CATANZARO","",,38.9,16.62,16,NaN,16,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
3730,02-Aug-1944,MTO,USA,12 AF,A36,NaN,"PORETTA AIRFIELD",ITALY,42.55,9.484722,ITALY,"FABA SABINA","",,42.2,12.72,4,NaN,8,NaN,NaN,NaN,NaN,8,500 LB GP (GP-M43/M64),NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,2,NaN,NaN,NaN
3809,31-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,24,NaN,24,NaN,NaN,NaN,NaN,48,500 LB GP (GP-M43/M64),NaN,12,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,NaN
3810,31-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CETRARO","",,39.5,15.93,24,NaN,24,NaN,NaN,NaN,NaN,48,500 LB GP (GP-M43/M64),NaN,12,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,NaN
3811,31-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"SAPRI","",ARMAMENT AND ORDNANCE PLANTS,40.07,15.63,23,NaN,23,NaN,1,NaN,NaN,46,500 LB GP (GP-M43/M64),NaN,11.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,11.5,NaN,NaN,NaN
3819,31-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"SAPRI","",,40.07,15.63,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
3820,31-Aug-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CETRARO","",ARMAMENT AND ORDNANCE PLANTS,39.5,15.93,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
3821,31-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"GROTTAGLIE","",,40.53,17.42,17,17,17,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,6,NaN,NaN,698617
4148,01-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",ARMAMENT AND ORDNANCE PLANTS,39.27,16.25,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
4157,01-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CAPUA","",,41.1,14.2,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
4284,20-Feb-1945,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"UDINE M/Y","",,46.05,13.23,65,65,65,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,227.125,NaN,NaN,699509
4406,02-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"NICASTRO","",,38.97,16.3,26,NaN,26,NaN,NaN,NaN,NaN,52,500 LB GP (GP-M43/M64),NaN,13,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,13,NaN,NaN,NaN
4409,02-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"LAMEZIA","",,38.92,16.25,16,NaN,16,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
4410,02-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"CATANZARO","",,38.9,16.62,15,NaN,15,NaN,NaN,NaN,NaN,30,500 LB GP (GP-M43/M64),NaN,7.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,7.5,NaN,NaN,NaN
4732,03-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,8,NaN,8,NaN,NaN,NaN,NaN,16,500 LB GP (GP-M43/M64),NaN,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,4,NaN,NaN,NaN
4733,03-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"MARINA DI CATANZARO","",,40.83,16.23,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
4739,03-Sep-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"GROTTAGLIE","",,40.53,17.42,19,18,18,NaN,NaN,NaN,1,0,500 LB GP (GP-M43/M64),NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,36,NaN,NaN,698618
5064,04-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,48,NaN,48,NaN,1,NaN,NaN,96,500 LB GP (GP-M43/M64),NaN,24,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,24,NaN,NaN,NaN
5071,04-Sep-1943,MTO,USA,12 AF,A36,NaN,"BARCELONA LANDING GROUND",SICILY,38.216681,15.233294,ITALY,"COSENZA","",,39.27,16.25,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
5440,21-Feb-1945,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"POLA NAVAL ARMAMENT DEPOT","",,44.87,13.85,70,70,70,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,258.5,NaN,NaN,699050
5546,03-Aug-1944,,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,,"PORTES LES VALENCE","",,44.67,5.25,76,76,76,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,158.25,NaN,NaN,699074
5928,07-Sep-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"MANDURIA","",,40.4,17.63,18,17,17,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,25.75,NaN,NaN,698768
7217,22-Feb-1945,MTO,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,GREECE,"PADUA NE M/Y","",,45.38,11.9,57,57,57,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,226.5,NaN,NaN,698984
