MissionID,MissionDate,TheaterOfOperations,Country,AirForce,AircraftSeries,Callsign,TakeoffBase,TakeoffLocation,TakeoffLatitude,TakeoffLongitude,TargetCountry,TargetCity,TargetType,TargetIndustry,TargetLatitude,TargetLongitude,AirborneAircraft,AttackingAircraft,BombingAircraft,AircraftReturned,AircraftFailed,AircraftDamaged,AircraftLost,HighExplosives,HighExplosivesType,HighExplosivesWeight_Pounds_,HighExplosivesWeight_Tons_,IncendiaryDevices,IncendiaryDevicesType,IncendiaryDevicesWeight_Pounds_,IncendiaryDevicesWeight_Tons_,FragmentationDevices,FragmentationDevicesType,FragmentationDevicesWeight_Pounds_,FragmentationDevicesWeight_Tons_,TotalWeight_Pounds_,TotalWeight_Tons_,TimeOverTarget,BombDamageAssessment,SourceID
176354,05-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TROINA","",,37.78,14.6,20,NaN,20,NaN,16,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
176357,05-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ROSARNO","",,38.48,15.97,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
176358,05-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"SAN GIOVANNI","",,38.22,15.22,16,15,15,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,450,4 LB INCENDIARY,NaN,12.15,NaN,,NaN,0,NaN,48.65,NaN,NaN,699210
176377,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CESARO","",,37.83,14.7,92,NaN,92,NaN,NaN,NaN,NaN,184,500 LB GP (GP-M43/M64),NaN,46,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,46,NaN,NaN,NaN
176378,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TROINA","",ARMAMENT AND ORDNANCE PLANTS,37.78,14.6,44,NaN,44,NaN,NaN,NaN,NaN,88,500 LB GP (GP-M43/M64),NaN,22,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,22,NaN,NaN,NaN
176379,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CESARO","",,37.83,14.7,37,NaN,37,NaN,4,NaN,NaN,74,500 LB GP (GP-M43/M64),NaN,18.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,18.5,NaN,NaN,NaN
176382,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TROINA","",,37.78,14.6,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
176383,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BRONTE","",,37.77,14.83,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
176384,06-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TROINA","",,37.78,14.6,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
176656,07-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"AGATA","",,38.08,14.63,27,NaN,27,NaN,1,NaN,NaN,54,500 LB GP (GP-M43/M64),NaN,13.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,13.5,NaN,NaN,NaN
176659,07-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SAN FRATELLO","",,38.02,14.6,20,NaN,20,NaN,4,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
176662,07-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SAN FRATELLO","",,38.02,14.6,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
176663,07-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"MARINO","",ARMAMENT AND ORDNANCE PLANTS,41.77,12.65,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
